case_id,activity,timestamp,gender,income,family_size,gpa,region,decision,explanation
1,ثبت درخواست,2024-01-01 10:00:00,زن,15000000,4,17.5,شهر,-
1,بررسی مدارک,2024-01-01 10:30:00,زن,15000000,4,17.5,شهر,-
1,ارزیابی نیاز مالی,2024-01-01 11:00:00,زن,15000000,4,17.5,شهر,-
1,تأیید,2024-01-01 11:30:00,زن,15000000,4,17.5,شهر,تأیید,معدل بالای 17 و درآمد مناسب
2,ثبت درخواست,2024-01-02 09:00:00,مرد,16000000,3,18.0,شهر,-
2,بررسی مدارک,2024-01-02 09:30:00,مرد,16000000,3,18.0,شهر,-
2,ارزیابی نیاز مالی,2024-01-02 10:00:00,مرد,16000000,3,18.0,شهر,-
2,تأیید,2024-01-02 10:30:00,مرد,16000000,3,18.0,شهر,تأیید,معدل بالا و تعداد اعضای خانواده مناسب
3,ثبت درخواست,2024-01-03 14:00:00,زن,12000000,5,16.0,روستا,-
3,بررسی مدارک,2024-01-03 14:30:00,زن,12000000,5,16.0,روستا,-
3,ارزیابی نیاز مالی,2024-01-03 15:00:00,زن,12000000,5,16.0,روستا,-
3,تأیید,2024-01-03 15:30:00,زن,12000000,5,16.0,روستا,تأیید,نیاز مالی بالا و شرایط مناسب
4,ثبت درخواست,2024-01-04 11:00:00,مرد,13000000,4,16.5,روستا,-
4,بررسی مدارک,2024-01-04 11:30:00,مرد,13000000,4,16.5,روستا,-
4,ارزیابی نیاز مالی,2024-01-04 12:00:00,مرد,13000000,4,16.5,روستا,-
4,تأیید,2024-01-04 12:30:00,مرد,13000000,4,16.5,روستا,تأیید,شرایط احراز شده است
5,ثبت درخواست,2024-01-05 08:00:00,زن,18000000,6,16.5,شهر,-
5,بررسی مدارک,2024-01-05 08:30:00,زن,18000000,6,16.5,شهر,-
5,ارزیابی نیاز مالی,2024-01-05 09:00:00,زن,18000000,6,16.5,شهر,-
5,تأیید,2024-01-05 09:30:00,زن,18000000,6,16.5,شهر,تأیید,نیاز مالی بالا
6,ثبت درخواست,2024-01-06 13:00:00,مرد,20000000,5,17.0,شهر,-
6,بررسی مدارک,2024-01-06 13:30:00,مرد,20000000,5,17.0,شهر,-
6,ارزیابی نیاز مالی,2024-01-06 14:00:00,مرد,20000000,5,17.0,شهر,-
6,تأیید,2024-01-06 14:30:00,مرد,20000000,5,17.0,شهر,تأیید,شرایط احراز شده است
7,ثبت درخواست,2024-01-07 10:00:00,زن,22000000,3,16.8,روستا,-
7,بررسی مدارک,2024-01-07 10:30:00,زن,22000000,3,16.8,روستا,-
7,ارزیابی نیاز مالی,2024-01-07 11:00:00,زن,22000000,3,16.8,روستا,-
7,تأیید,2024-01-07 11:30:00,زن,22000000,3,16.8,روستا,تأیید,شرایط مناسب
8,ثبت درخواست,2024-01-08 09:00:00,مرد,25000000,2,18.5,شهر,-
8,بررسی مدارک,2024-01-08 09:30:00,مرد,25000000,2,18.5,شهر,-
8,ارزیابی نیاز مالی,2024-01-08 10:00:00,مرد,25000000,2,18.5,شهر,-
8,تأیید,2024-01-08 10:30:00,مرد,25000000,2,18.5,شهر,تأیید,معدل عالی
9,ثبت درخواست,2024-01-09 15:00:00,زن,10000000,7,15.5,روستا,-
9,بررسی مدارک,2024-01-09 15:30:00,زن,10000000,7,15.5,روستا,-
9,ارزیابی نیاز مالی,2024-01-09 16:00:00,زن,10000000,7,15.5,روستا,-
9,رد,2024-01-09 16:30:00,زن,10000000,7,15.5,روستا,رد,
10,ثبت درخواست,2024-01-10 12:00:00,مرد,11000000,6,15.8,روستا,-
10,بررسی مدارک,2024-01-10 12:30:00,مرد,11000000,6,15.8,روستا,-
10,ارزیابی نیاز مالی,2024-01-10 13:00:00,مرد,11000000,6,15.8,روستا,-
10,تأیید,2024-01-10 13:30:00,مرد,11000000,6,15.8,روستا,تأیید,شرایط احراز شده است
11,ثبت درخواست,2024-01-11 09:00:00,زن,25000000,2,18.0,شهر,-
11,بررسی مدارک,2024-01-11 09:30:00,زن,25000000,2,18.0,شهر,-
11,ارزیابی نیاز مالی,2024-01-11 10:00:00,زن,25000000,2,18.0,شهر,-
11,تأیید,2024-01-11 10:30:00,زن,25000000,2,18.0,شهر,تأیید,معدل بالا و درآمد مناسب
12,ثبت درخواست,2024-01-12 14:00:00,مرد,27000000,2,18.2,شهر,-
12,بررسی مدارک,2024-01-12 14:30:00,مرد,27000000,2,18.2,شهر,-
12,ارزیابی نیاز مالی,2024-01-12 15:00:00,مرد,27000000,2,18.2,شهر,-
12,تأیید,2024-01-12 15:30:00,مرد,27000000,2,18.2,شهر,تأیید,معدل عالی و درآمد مناسب
